,pokedex_number,name,type1,type2,generation,hp,attack,defense,sp_attack,sp_defense,speed,base_egg_steps,base_happiness,capture_rate,classification,experience_growth,height_m,percentage_male,weight_kg,is_legendary,percentage_female,ability_0,ability_1,ability_2,ability_3,ability_4,ability_5
17,18,Pidgeot,normal,flying,1,83,80,80,135,80,121,3840,70,45,Bird Pokémon,1059860,1.5,50.0,39.5,0,50.0,Keen Eye,Tangled Feet,Big Pecks,,,
18,19,Rattata,normal,dark,1,30,56,35,25,35,72,3840,70,255,Mouse Pokémon,1000000,,50.0,,0,50.0,Run Away,Guts,Hustle,Gluttony,Hustle,Thick Fat
19,20,Raticate,normal,dark,1,75,71,70,40,80,77,3840,70,127,Mouse Pokémon,1000000,,50.0,,0,50.0,Run Away,Guts,Hustle,Gluttony,Hustle,Thick Fat
20,21,Spearow,normal,flying,1,40,60,30,31,31,70,3840,70,255,Tiny Bird Pokémon,1000000,0.3,50.0,2.0,0,50.0,Keen Eye,Sniper,,,,
21,22,Fearow,normal,flying,1,65,90,65,61,61,100,3840,70,90,Beak Pokémon,1000000,1.2,50.0,38.0,0,50.0,Keen Eye,Sniper,,,,
22,23,Ekans,poison,none,1,35,60,44,40,54,55,5120,70,255,Snake Pokémon,1000000,2.0,50.0,6.9,0,50.0,Intimidate,Shed Skin,Unnerve,,,
23,24,Arbok,poison,none,1,60,95,69,65,79,80,5120,70,90,Cobra Pokémon,1000000,3.5,50.0,65.0,0,50.0,Intimidate,Shed Skin,Unnerve,,,
24,25,Pikachu,electric,none,1,35,55,40,50,50,90,2560,70,190,Mouse Pokémon,1000000,0.4,50.0,6.0,0,50.0,Static,Lightningrod,,,,
25,26,Raichu,electric,electric,1,60,85,50,95,85,110,2560,70,75,Mouse Pokémon,1000000,,50.0,,0,50.0,Static,Lightningrod,Surge Surfer,,,
26,27,Sandshrew,ground,ice,1,50,75,90,10,35,40,5120,70,255,Mouse Pokémon,1000000,,50.0,,0,50.0,Sand Veil,Sand Rush,Snow Cloak,Slush Rush,,
27,28,Sandslash,ground,ice,1,75,100,120,25,65,65,5120,70,90,Mouse Pokémon,1000000,,50.0,,0,50.0,Sand Veil,Sand Rush,Snow Cloak,Slush Rush,,
28,29,Nidoran♀,poison,none,1,55,47,52,40,40,41,5120,70,235,Poison Pin Pokémon,1059860,0.4,0.0,7.0,0,100.0,Poison Point,Rivalry,Hustle,,,
29,30,Nidorina,poison,none,1,70,62,67,55,55,56,5120,70,120,Poison Pin Pokémon,1059860,0.8,0.0,20.0,0,100.0,Poison Point,Rivalry,Hustle,,,
30,31,Nidoqueen,poison,ground,1,90,92,87,75,85,76,5120,70,45,Drill Pokémon,1059860,1.3,0.0,60.0,0,100.0,Poison Point,Rivalry,Sheer Force,,,
31,32,Nidoran♂,poison,none,1,46,57,40,40,40,50,5120,70,235,Poison Pin Pokémon,1059860,0.5,100.0,9.0,0,0.0,Poison Point,Rivalry,Hustle,,,
32,33,Nidorino,poison,none,1,61,72,57,55,55,65,5120,70,120,Poison Pin Pokémon,1059860,0.9,100.0,19.5,0,0.0,Poison Point,Rivalry,Hustle,,,
33,34,Nidoking,poison,ground,1,81,102,77,85,75,85,5120,70,45,Drill Pokémon,1059860,1.4,100.0,62.0,0,0.0,Poison Point,Rivalry,Sheer Force,,,
34,35,Clefairy,fairy,none,1,70,45,48,60,65,35,2560,140,150,Fairy Pokémon,800000,0.6,24.6,7.5,0,75.4,Cute Charm,Magic Guard,Friend Guard,,,
35,36,Clefable,fairy,none,1,95,70,73,95,90,60,2560,140,25,Fairy Pokémon,800000,1.3,24.6,40.0,0,75.4,Cute Charm,Magic Guard,Unaware,,,
36,37,Vulpix,fire,ice,1,38,41,40,50,65,65,5120,70,190,Fox Pokémon,1000000,,24.6,,0,75.4,Flash Fire,Drought,Snow Cloak,Snow Warning,,
37,38,Ninetales,fire,ice,1,73,67,75,81,100,109,5120,70,75,Fox Pokémon,1000000,,24.6,,0,75.4,Flash Fire,Drought,Snow Cloak,Snow Warning,,
38,39,Jigglypuff,normal,fairy,1,115,45,20,45,25,20,2560,70,170,Balloon Pokémon,800000,0.5,24.6,5.5,0,75.4,Cute Charm,Competitive,Friend Guard,,,
39,40,Wigglytuff,normal,fairy,1,140,70,45,85,50,45,2560,70,50,Balloon Pokémon,800000,1.0,24.6,12.0,0,75.4,Cute Charm,Competitive,Frisk,,,
40,41,Zubat,poison,flying,1,40,45,35,30,40,55,3840,70,255,Bat Pokémon,1000000,0.8,50.0,7.5,0,50.0,Inner Focus,Infiltrator,,,,
41,42,Golbat,poison,flying,1,75,80,70,65,75,90,3840,70,90,Bat Pokémon,1000000,1.6,50.0,55.0,0,50.0,Inner Focus,Infiltrator,,,,
42,43,Oddish,grass,poison,1,45,50,55,75,65,30,5120,70,255,Weed Pokémon,1059860,0.5,50.0,5.4,0,50.0,Chlorophyll,Run Away,,,,
43,44,Gloom,grass,poison,1,60,65,70,85,75,40,5120,70,120,Weed Pokémon,1059860,0.8,50.0,8.6,0,50.0,Chlorophyll,Stench,,,,
44,45,Vileplume,grass,poison,1,75,80,85,110,90,50,5120,70,45,Flower Pokémon,1059860,1.2,50.0,18.6,0,50.0,Chlorophyll,Effect Spore,,,,
45,46,Paras,bug,grass,1,35,70,55,45,55,25,5120,70,190,Mushroom Pokémon,1000000,0.3,50.0,5.4,0,50.0,Effect Spore,Dry Skin,Damp,,,
46,47,Parasect,bug,grass,1,60,95,80,60,80,30,5120,70,75,Mushroom Pokémon,1000000,1.0,50.0,29.5,0,50.0,Effect Spore,Dry Skin,Damp,,,
47,48,Venonat,bug,poison,1,60,55,50,40,55,45,5120,70,190,Insect Pokémon,1000000,1.0,50.0,30.0,0,50.0,Compoundeyes,Tinted Lens,Run Away,,,
48,49,Venomoth,bug,poison,1,70,65,60,90,75,90,5120,70,75,Poison Moth Pokémon,1000000,1.5,50.0,12.5,0,50.0,Shield Dust,Tinted Lens,Wonder Skin ,,,
49,50,Diglett,ground,ground,1,10,55,30,35,45,90,5120,70,255,Mole Pokémon,1000000,,50.0,,0,50.0,Sand Veil,Arena Trap,Sand Force,Sand Veil,Tangling Hair,Sand Force
50,51,Dugtrio,ground,ground,1,35,100,60,50,70,110,5120,70,50,Mole Pokémon,1000000,,50.0,,0,50.0,Sand Veil,Arena Trap,Sand Force,Sand Veil,Tangling Hair,Sand Force
51,52,Meowth,normal,dark,1,40,35,35,50,40,90,5120,70,255,Scratch Cat Pokémon,1000000,,50.0,,0,50.0,Pickup,Technician,Unnerve,Pickup,Technician,Rattled
52,53,Persian,normal,dark,1,65,60,60,75,65,115,5120,70,90,Classy Cat Pokémon,1000000,,50.0,,0,50.0,Limber,Technician,Unnerve,Fur Coat,Technician,Rattled
53,54,Psyduck,water,none,1,50,52,48,65,50,55,5120,70,190,Duck Pokémon,1000000,0.8,50.0,19.6,0,50.0,Damp,Cloud Nine,Swift Swim,,,
54,55,Golduck,water,none,1,80,82,78,95,80,85,5120,70,75,Duck Pokémon,1000000,1.7,50.0,76.6,0,50.0,Damp,Cloud Nine,Swift Swim,,,
55,56,Mankey,fighting,none,1,40,80,35,35,45,70,5120,70,190,Pig Monkey Pokémon,1000000,0.5,50.0,28.0,0,50.0,Vital Spirit,Anger Point,Defiant,,,
56,57,Primeape,fighting,none,1,65,105,60,60,70,95,5120,70,75,Pig Monkey Pokémon,1000000,1.0,50.0,32.0,0,50.0,Vital Spirit,Anger Point,Defiant,,,
57,58,Growlithe,fire,none,1,55,70,45,70,50,60,5120,70,190,Puppy Pokémon,1250000,0.7,75.4,19.0,0,24.599999999999994,Intimidate,Flash Fire,Justified,,,
58,59,Arcanine,fire,none,1,90,110,80,100,80,95,5120,70,75,Legendary Pokémon,1250000,1.9,75.4,155.0,0,24.599999999999994,Intimidate,Flash Fire,Justified,,,
59,60,Poliwag,water,none,1,40,50,40,40,40,90,5120,70,255,Tadpole Pokémon,1059860,0.6,50.0,12.4,0,50.0,Water Absorb,Damp,Swift Swim,,,
60,61,Poliwhirl,water,none,1,65,65,65,50,50,90,5120,70,120,Tadpole Pokémon,1059860,1.0,50.0,20.0,0,50.0,Water Absorb,Damp,Swift Swim,,,
61,62,Poliwrath,water,fighting,1,90,95,95,70,90,70,5120,70,45,Tadpole Pokémon,1059860,1.3,50.0,54.0,0,50.0,Water Absorb,Damp,Swift Swim,,,
62,63,Abra,psychic,none,1,25,20,15,105,55,90,5120,70,200,Psi Pokémon,1059860,0.9,75.4,19.5,0,24.599999999999994,Synchronize,Inner Focus,Magic Guard,,,
63,64,Kadabra,psychic,none,1,40,35,30,120,70,105,5120,70,100,Psi Pokémon,1059860,1.3,75.4,56.5,0,24.599999999999994,Synchronize,Inner Focus,Magic Guard,,,
64,65,Alakazam,psychic,none,1,55,50,65,175,105,150,5120,70,50,Psi Pokémon,1059860,1.5,75.4,48.0,0,24.599999999999994,Synchronize,Inner Focus,Magic Guard,,,
65,66,Machop,fighting,none,1,70,80,50,35,35,35,5120,70,180,Superpower Pokémon,1059860,0.8,75.4,19.5,0,24.599999999999994,Guts,No Guard,Steadfast,,,
66,67,Machoke,fighting,none,1,80,100,70,50,60,45,5120,70,90,Superpower Pokémon,1059860,1.5,75.4,70.5,0,24.599999999999994,Guts,No Guard,Steadfast,,,
67,68,Machamp,fighting,none,1,90,130,80,65,85,55,5120,70,45,Superpower Pokémon,1059860,1.6,75.4,130.0,0,24.599999999999994,Guts,No Guard,Steadfast,,,
68,69,Bellsprout,grass,poison,1,50,75,35,70,30,40,5120,70,255,Flower Pokémon,1059860,0.7,50.0,4.0,0,50.0,Chlorophyll,Gluttony,,,,
69,70,Weepinbell,grass,poison,1,65,90,50,85,45,55,5120,70,120,Flycatcher Pokémon,1059860,1.0,50.0,6.4,0,50.0,Chlorophyll,Gluttony,,,,
70,71,Victreebel,grass,poison,1,80,105,65,100,70,70,5120,70,45,Flycatcher Pokémon,1059860,1.7,50.0,15.5,0,50.0,Chlorophyll,Gluttony,,,,
71,72,Tentacool,water,poison,1,40,40,35,50,100,70,5120,70,190,Jellyfish Pokémon,1250000,0.9,50.0,45.5,0,50.0,Clear Body,Liquid Ooze,Rain Dish,,,
72,73,Tentacruel,water,poison,1,80,70,65,80,120,100,5120,70,60,Jellyfish Pokémon,1250000,1.6,50.0,55.0,0,50.0,Clear Body,Liquid Ooze,Rain Dish,,,
73,74,Geodude,rock,ground,1,40,80,100,30,30,20,3840,70,255,Rock Pokémon,1059860,,50.0,,0,50.0,Rock Head,Sturdy,Sand Veil,Magnet Pull,Sturdy,Galvanize
74,75,Graveler,rock,ground,1,55,95,115,45,45,35,3840,70,120,Rock Pokémon,1059860,,50.0,,0,50.0,Rock Head,Sturdy,Sand Veil,Magnet Pull,Sturdy,Galvanize
75,76,Golem,rock,ground,1,80,120,130,55,65,45,3840,70,45,Megaton Pokémon,1059860,,50.0,,0,50.0,Rock Head,Sturdy,Sand Veil,Magnet Pull,Sturdy,Galvanize
76,77,Ponyta,fire,none,1,50,85,55,65,65,90,5120,70,190,Fire Horse Pokémon,1000000,1.0,50.0,30.0,0,50.0,Run Away,Flash Fire,Flame Body,,,
77,78,Rapidash,fire,none,1,65,100,70,80,80,105,5120,70,60,Fire Horse Pokémon,1000000,1.7,50.0,95.0,0,50.0,Run Away,Flash Fire,Flame Body,,,
78,79,Slowpoke,water,psychic,1,90,65,65,40,40,15,5120,70,190,Dopey Pokémon,1000000,1.2,50.0,36.0,0,50.0,Oblivious,Own Tempo,Regenerator,,,
79,80,Slowbro,water,psychic,1,95,75,180,130,80,30,5120,70,75,Hermit Crab Pokémon,1000000,1.6,50.0,78.5,0,50.0,Oblivious,Own Tempo,Regenerator,,,
80,81,Magnemite,electric,steel,1,25,35,70,95,55,45,5120,70,190,Magnet Pokémon,1000000,0.3,0.0,6.0,0,0.0,Magnet Pull,Sturdy,Analytic,,,
81,82,Magneton,electric,steel,1,50,60,95,120,70,70,5120,70,60,Magnet Pokémon,1000000,1.0,0.0,60.0,0,0.0,Magnet Pull,Sturdy,Analytic,,,
82,83,Farfetch'd,normal,flying,1,52,90,55,58,62,60,5120,70,45,Wild Duck Pokémon,1000000,0.8,50.0,15.0,0,50.0,Keen Eye,Inner Focus,Defiant,,,
83,84,Doduo,normal,flying,1,35,85,45,35,35,75,5120,70,190,Twin Bird Pokémon,1000000,1.4,50.0,39.2,0,50.0,Run Away,Early Bird,Tangled Feet,,,
84,85,Dodrio,normal,flying,1,60,110,70,60,60,110,5120,70,45,Triple Bird Pokémon,1000000,1.8,50.0,85.2,0,50.0,Run Away,Early Bird,Tangled Feet,,,
85,86,Seel,water,none,1,65,45,55,45,70,45,5120,70,190,Sea Lion Pokémon,1000000,1.1,50.0,90.0,0,50.0,Thick Fat,Hydration,Ice Body,,,
86,87,Dewgong,water,ice,1,90,70,80,70,95,70,5120,70,75,Sea Lion Pokémon,1000000,1.7,50.0,120.0,0,50.0,Thick Fat,Hydration,Ice Body,,,
87,88,Grimer,poison,poison,1,80,80,50,40,50,25,5120,70,190,Sludge Pokémon,1000000,,50.0,,0,50.0,Stench,Sticky Hold,Poison Touch,Poison Touch,Gluttony,Power of Alchemy
88,89,Muk,poison,poison,1,105,105,75,65,100,50,5120,70,75,Sludge Pokémon,1000000,,50.0,,0,50.0,Stench,Sticky Hold,Poison Touch,Poison Touch,Gluttony,Power of Alchemy
89,90,Shellder,water,none,1,30,65,100,45,25,40,5120,70,190,Bivalve Pokémon,1250000,0.3,50.0,4.0,0,50.0,Shell Armor,Skill Link,Overcoat,,,
90,91,Cloyster,water,ice,1,50,95,180,85,45,70,5120,70,60,Bivalve Pokémon,1250000,1.5,50.0,132.5,0,50.0,Shell Armor,Skill Link,Overcoat,,,
91,92,Gastly,ghost,poison,1,30,35,30,100,35,80,5120,70,190,Gas Pokémon,1059860,1.3,50.0,0.1,0,50.0,Levitate,,,,,
92,93,Haunter,ghost,poison,1,45,50,45,115,55,95,5120,70,90,Gas Pokémon,1059860,1.6,50.0,0.1,0,50.0,Levitate,,,,,
93,94,Gengar,ghost,poison,1,60,65,80,170,95,130,5120,70,45,Shadow Pokémon,1059860,1.5,50.0,40.5,0,50.0,Cursed Body,,,,,
94,95,Onix,rock,ground,1,35,45,160,30,45,70,6400,70,45,Rock Snake Pokémon,1000000,8.8,50.0,210.0,0,50.0,Rock Head,Sturdy,Weak Armor,,,
95,96,Drowzee,psychic,none,1,60,48,45,43,90,42,5120,70,190,Hypnosis Pokémon,1000000,1.0,50.0,32.4,0,50.0,Insomnia,Forewarn,Inner Focus,,,
96,97,Hypno,psychic,none,1,85,73,70,73,115,67,5120,70,75,Hypnosis Pokémon,1000000,1.6,50.0,75.6,0,50.0,Insomnia,Forewarn,Inner Focus,,,
97,98,Krabby,water,none,1,30,105,90,25,25,50,5120,70,225,River Crab Pokémon,1000000,0.4,50.0,6.5,0,50.0,Hyper Cutter,Shell Armor,Sheer Force,,,
98,99,Kingler,water,none,1,55,130,115,50,50,75,5120,70,60,Pincer Pokémon,1000000,1.3,50.0,60.0,0,50.0,Hyper Cutter,Shell Armor,Sheer Force,,,
99,100,Voltorb,electric,none,1,40,30,50,55,55,100,5120,70,190,Ball Pokémon,1000000,0.5,0.0,10.4,0,0.0,Soundproof,Static,Aftermath,,,
100,101,Electrode,electric,none,1,60,50,70,80,80,150,5120,70,60,Ball Pokémon,1000000,1.2,0.0,66.6,0,0.0,Soundproof,Static,Aftermath,,,
101,102,Exeggcute,grass,psychic,1,60,40,80,60,45,40,5120,70,90,Egg Pokémon,1250000,0.4,50.0,2.5,0,50.0,Chlorophyll,Harvest,,,,
102,103,Exeggutor,grass,psychic,1,95,105,85,125,75,45,5120,70,45,Coconut Pokémon,1250000,,50.0,,0,50.0,Chlorophyll,Harvest,Frisk,Harvest,,
103,104,Cubone,ground,none,1,50,50,95,40,50,35,5120,70,190,Lonely Pokémon,1000000,0.4,50.0,6.5,0,50.0,Rock Head,Lightningrod,Battle Armor,,,
104,105,Marowak,ground,fire,1,60,80,110,50,80,45,5120,70,75,Bone Keeper Pokémon,1000000,,50.0,,0,50.0,Rock Head,Lightningrod,Battle Armor,Cursed Body,Lightningrod,Rock Head
105,106,Hitmonlee,fighting,none,1,50,120,53,35,110,87,6400,70,45,Kicking Pokémon,1000000,1.5,100.0,49.8,0,0.0,Limber,Reckless,Unburden,,,
106,107,Hitmonchan,fighting,none,1,50,105,79,35,110,76,6400,70,45,Punching Pokémon,1000000,1.4,100.0,50.2,0,0.0,Keen Eye,Iron Fist,Inner Focus,,,
107,108,Lickitung,normal,none,1,90,55,75,60,75,30,5120,70,45,Licking Pokémon,1000000,1.2,50.0,65.5,0,50.0,Own Tempo,Oblivious,Cloud Nine,,,
108,109,Koffing,poison,none,1,40,65,95,60,45,35,5120,70,190,Poison Gas Pokémon,1000000,0.6,50.0,1.0,0,50.0,Levitate,,,,,
109,110,Weezing,poison,none,1,65,90,120,85,70,60,5120,70,60,Poison Gas Pokémon,1000000,1.2,50.0,9.5,0,50.0,Levitate,,,,,
110,111,Rhyhorn,ground,rock,1,80,85,95,30,30,25,5120,70,120,Spikes Pokémon,1250000,1.0,50.0,115.0,0,50.0,Lightningrod,Rock Head,Reckless,,,
111,112,Rhydon,ground,rock,1,105,130,120,45,45,40,5120,70,60,Drill Pokémon,1250000,1.9,50.0,120.0,0,50.0,Lightningrod,Rock Head,Reckless,,,
112,113,Chansey,normal,none,1,250,5,5,35,105,50,10240,140,30,Egg Pokémon,800000,1.1,0.0,34.6,0,100.0,Natural Cure,Serene Grace,Healer,,,
113,114,Tangela,grass,none,1,65,55,115,100,40,60,5120,70,45,Vine Pokémon,1000000,1.0,50.0,35.0,0,50.0,Chlorophyll,Leaf Guard,Regenerator,,,
114,115,Kangaskhan,normal,none,1,105,125,100,60,100,100,5120,70,45,Parent Pokémon,1000000,2.2,0.0,80.0,0,100.0,Early Bird,Scrappy,Inner Focus,,,
115,116,Horsea,water,none,1,30,40,70,70,25,60,5120,70,225,Dragon Pokémon,1000000,0.4,50.0,8.0,0,50.0,Swift Swim,Sniper,Damp,,,
116,117,Seadra,water,none,1,55,65,95,95,45,85,5120,70,75,Dragon Pokémon,1000000,1.2,50.0,25.0,0,50.0,Poison Point,Sniper,Damp,,,
117,118,Goldeen,water,none,1,45,67,60,35,50,63,5120,70,225,Goldfish Pokémon,1000000,0.6,50.0,15.0,0,50.0,Swift Swim,Water Veil,Lightningrod,,,
118,119,Seaking,water,none,1,80,92,65,65,80,68,5120,70,60,Goldfish Pokémon,1000000,1.3,50.0,39.0,0,50.0,Swift Swim,Water Veil,Lightningrod,,,
119,120,Staryu,water,none,1,30,45,55,70,55,85,5120,70,225,Starshape Pokémon,1250000,0.8,0.0,34.5,0,0.0,Illuminate,Natural Cure,Analytic,,,
120,121,Starmie,water,psychic,1,60,75,85,100,85,115,5120,70,60,Mysterious Pokémon,1250000,1.1,0.0,80.0,0,0.0,Illuminate,Natural Cure,Analytic,,,
121,122,Mr. Mime,psychic,fairy,1,40,45,65,100,120,90,6400,70,45,Barrier Pokémon,1000000,1.3,50.0,54.5,0,50.0,Soundproof,Filter,Technician,,,
122,123,Scyther,bug,flying,1,70,110,80,55,80,105,6400,70,45,Mantis Pokémon,1000000,1.5,50.0,56.0,0,50.0,Swarm,Technician,Steadfast,,,
123,124,Jynx,ice,psychic,1,65,50,35,115,95,95,6400,70,45,Humanshape Pokémon,1000000,1.4,0.0,40.6,0,100.0,Oblivious,Forewarn,Dry Skin,,,
124,125,Electabuzz,electric,none,1,65,83,57,95,85,105,6400,70,45,Electric Pokémon,1000000,1.1,75.4,30.0,0,24.599999999999994,Static,Vital Spirit,,,,
125,126,Magmar,fire,none,1,65,95,57,100,85,93,6400,70,45,Spitfire Pokémon,1000000,1.3,75.4,44.5,0,24.599999999999994,Flame Body,Vital Spirit,,,,
126,127,Pinsir,bug,none,1,65,155,120,65,90,105,6400,70,45,Stagbeetle Pokémon,1250000,1.5,50.0,55.0,0,50.0,Hyper Cutter,Mold Breaker,Moxie,,,
127,128,Tauros,normal,none,1,75,100,95,40,70,110,5120,70,45,Wild Bull Pokémon,1250000,1.4,100.0,88.4,0,0.0,Intimidate,Anger Point,Sheer Force,,,
128,129,Magikarp,water,none,1,20,10,55,15,20,80,1280,70,255,Fish Pokémon,1250000,0.9,50.0,10.0,0,50.0,Swift Swim,Rattled,,,,
129,130,Gyarados,water,flying,1,95,155,109,70,130,81,1280,70,45,Atrocious Pokémon,1250000,6.5,50.0,235.0,0,50.0,Intimidate,Moxie,,,,
130,131,Lapras,water,ice,1,130,85,80,85,95,60,10240,70,45,Transport Pokémon,1250000,2.5,50.0,220.0,0,50.0,Water Absorb,Shell Armor,Hydration,,,
131,132,Ditto,normal,none,1,48,48,48,48,48,48,5120,70,35,Transform Pokémon,1000000,0.3,0.0,4.0,0,0.0,Limber,Imposter,,,,
132,133,Eevee,normal,none,1,55,55,50,45,65,55,8960,70,45,Evolution Pokémon,1000000,0.3,88.1,6.5,0,11.900000000000006,Run Away,Adaptability,Anticipation,,,
133,134,Vaporeon,water,none,1,130,65,60,110,95,65,8960,70,45,Bubble Jet Pokémon,1000000,1.0,88.1,29.0,0,11.900000000000006,Water Absorb,Hydration,,,,
134,135,Jolteon,electric,none,1,65,65,60,110,95,130,8960,70,45,Lightning Pokémon,1000000,0.8,88.1,24.5,0,11.900000000000006,Volt Absorb,Quick Feet,,,,
135,136,Flareon,fire,none,1,65,130,60,95,110,65,8960,70,45,Flame Pokémon,1000000,0.9,88.1,25.0,0,11.900000000000006,Flash Fire,Guts,,,,
136,137,Porygon,normal,none,1,65,60,70,85,75,40,5120,70,45,Virtual Pokémon,1000000,0.8,0.0,36.5,0,0.0,Trace,Download,Analytic,,,
137,138,Omanyte,rock,water,1,35,40,100,90,55,35,7680,70,45,Spiral Pokémon,1000000,0.4,88.1,7.5,0,11.900000000000006,Swift Swim,Shell Armor,Weak Armor,,,
138,139,Omastar,rock,water,1,70,60,125,115,70,55,7680,70,45,Spiral Pokémon,1000000,1.0,88.1,35.0,0,11.900000000000006,Swift Swim,Shell Armor,Weak Armor,,,
139,140,Kabuto,rock,water,1,30,80,90,55,45,55,7680,70,45,Shellfish Pokémon,1000000,0.5,88.1,11.5,0,11.900000000000006,Swift Swim,Battle Armor,Weak Armor,,,
140,141,Kabutops,rock,water,1,60,115,105,65,70,80,7680,70,45,Shellfish Pokémon,1000000,1.3,88.1,40.5,0,11.900000000000006,Swift Swim,Battle Armor,Weak Armor,,,
141,142,Aerodactyl,rock,flying,1,80,135,85,70,95,150,8960,70,45,Fossil Pokémon,1250000,1.8,88.1,59.0,0,11.900000000000006,Rock Head,Pressure,Unnerve,,,
142,143,Snorlax,normal,none,1,160,110,65,65,110,30,10240,70,25,Sleeping Pokémon,1250000,2.1,88.1,460.0,0,11.900000000000006,Immunity,Thick Fat,Gluttony,,,
143,144,Articuno,ice,flying,1,90,85,100,95,125,85,20480,35,3,Freeze Pokémon,1250000,1.7,0.0,55.4,1,0.0,Pressure,Snow Cloak,,,,
144,145,Zapdos,electric,flying,1,90,90,85,125,90,100,20480,35,3,Electric Pokémon,1250000,1.6,0.0,52.6,1,0.0,Pressure,Static,,,,
145,146,Moltres,fire,flying,1,90,100,90,125,85,90,20480,35,3,Flame Pokémon,1250000,2.0,0.0,60.0,1,0.0,Pressure,Flame Body,,,,
146,147,Dratini,dragon,none,1,41,64,45,50,50,50,10240,35,45,Dragon Pokémon,1250000,1.8,50.0,3.3,0,50.0,Shed Skin,Marvel Scale,,,,
147,148,Dragonair,dragon,none,1,61,84,65,70,70,70,10240,35,45,Dragon Pokémon,1250000,4.0,50.0,16.5,0,50.0,Shed Skin,Marvel Scale,,,,
148,149,Dragonite,dragon,flying,1,91,134,95,100,100,80,10240,35,45,Dragon Pokémon,1250000,2.2,50.0,210.0,0,50.0,Inner Focus,Multiscale,,,,
149,150,Mewtwo,psychic,none,1,106,150,70,194,120,140,30720,0,3,Genetic Pokémon,1250000,2.0,0.0,122.0,1,0.0,Pressure,Unnerve,,,,
150,151,Mew,psychic,none,1,100,100,100,100,100,100,30720,100,45,New Species Pokémon,1059860,0.4,0.0,4.0,1,0.0,Synchronize,,,,,
151,152,Chikorita,grass,none,2,45,49,65,49,65,45,5120,70,45,Leaf Pokémon,1059860,0.9,88.1,6.4,0,11.900000000000006,Overgrow,Leaf Guard,,,,
